mon_id,aqs,pred_av,pred_gs,pred_caces,lon,lat
New York-Suffolk-0002-88101-1,8.835652173913044,9.199999809265137,10.377717486109642,9.45647592535787,-73.41919,40.74529
New York-Suffolk-0009-88502-3,8.396441739583333,8.600000381469727,11.200440370759964,10.3677524708495,-73.05754,40.82799
Connecticut-Fairfield-3005-88101-1,9.97563025210084,10,11.6314067539629,10.2878360753221,-73.407222,41.1125
Connecticut-Fairfield-9003-88101-1,9.485,8.800000190734863,10.524284326824755,9.58938701476793,-73.336667,41.118333
Connecticut-Fairfield-0010-88101-1,9.969747899159664,9.5,11.542563428421994,10.0032052892562,-73.194722,41.170833
Connecticut-New Haven-0027-88101-1,10.035838150289017,10.100000381469728,10.52091484669701,9.62525597580645,-72.902871,41.3014
Connecticut-New Haven-1123-88101-1,10.041176470588235,10.100000381469728,10.52091484669701,9.647230609319,-72.916944,41.310833
Massachusetts-Dukes-0001-88502-1,6.346956521739131,5.400000095367432,9.257567967786342,8.49985498392283,-70.785225,41.330469
Connecticut-Fairfield-1123-88101-1,9.528070175438597,9.800000190734863,11.01699417841242,9.3161782638106,-73.443056,41.399167
Connecticut-New London-3002-88101-1,9.035897435897436,8,10.384669833065791,8.5503156946929,-72.076667,41.524167
Connecticut-New Haven-2123-88101-1,9.837391304347824,9.699999809265137,10.64956068796898,9.94215342857143,-73.043611,41.550556
Rhode Island-Kent-0002-88101-2,6.332692307692308,6,6.702895086021158,6.53766403082672,-71.72,41.615237
Massachusetts-Bristol-1004-88101-1,7.893103448275862,8.199999809265137,9.801103931474907,7.86814892523364,-71.169235,41.685707
Connecticut-Hartford-2006-88101-1,9.36283185840708,10.100000381469728,9.644490067614772,9.28996198124267,-72.634444,41.7425
Connecticut-Hartford-1003-88101-1,8.803154574132492,10.100000381469728,9.644490067614772,9.4253689015544,-72.631667,41.784722
Rhode Island-Providence-0022-88101-1,8.640988372093023,9.100000381469728,9.561923633890029,8.87746936430318,-71.412968,41.807469
Rhode Island-Providence-0028-88101-1,8.654545454545454,9.100000381469728,9.561923633890029,8.87746936430318,-71.40743,41.809235
Connecticut-Litchfield-0005-88101-1,5.682758620689655,6.300000190734863,7.346106242430818,6.61328537349398,-73.297257,41.821342
Rhode Island-Providence-1010-88101-1,8.72816091954023,8.5,9.60332800512658,9.20511930589185,-71.36097,41.841039
Rhode Island-Providence-0026-88101-1,9.955855855855855,9.5,9.60332800512658,9.02759161574618,-71.379971,41.874668
Massachusetts-Barnstable-0002-88502-1,5.460344827586207,4.599999904632568,8.377447382864736,6.02794716150082,-70.023598,41.975804
Massachusetts-Plymouth-0004-88101-1,8.191735537190082,8.699999809265137,7.6746787649957,8.94827310696095,-71.014739,42.081936
Massachusetts-Hampden-2009-88101-1,9.2525,9.899999618530272,8.442625293921616,9.19035931707317,-72.597133,42.105792
Massachusetts-Hampden-0016-88101-1,9.7575,10,8.442625293921616,9.02407586800574,-72.590803,42.108992
Massachusetts-Hampden-0008-88101-1,7.836974789915966,10,8.442625293921616,8.7193446683199,-72.555112,42.19438
Massachusetts-Norfolk-3003-88502-3,7.4618160931849795,8,8.547862107890976,7.8924448766933,-71.11397,42.211774
Massachusetts-Worcester-0016-88101-1,8.599173553719009,8.899999618530273,8.78241695468951,8.7520360364004,-71.798375,42.260102
Massachusetts-Worcester-0023-88101-1,9.01,8.899999618530273,8.78241695468951,8.30291407364787,-71.794322,42.263955
Massachusetts-Hampshire-4002-88502-1,5.086554621848739,6.900000095367432,9.58441339960759,6.09903246997598,-72.334079,42.298493
Massachusetts-Suffolk-0042-88101-1,8.473109243697479,9.199999809265137,8.05001981915639,9.13416607905138,-71.0826,42.3295
Massachusetts-Suffolk-0002-88101-1,9.376470588235296,9.199999809265137,8.05001981915639,9.02912939685315,-71.097163,42.348873
Massachusetts-Suffolk-0043-88101-1,10.25068870523416,9.199999809265137,8.05001981915639,8.51272861696073,-71.0543,42.3631
Massachusetts-Suffolk-0027-88101-1,8.657758620689656,9.399999618530272,8.05001981915639,9.31009449895616,-71.061741,42.372122
Massachusetts-Berkshire-5001-88101-1,9.07948717948718,8.800000190734863,8.156251803487462,8.90977148672566,-73.254108,42.448009
Massachusetts-Berkshire-0006-88502-3,11.023407354395603,8.199999809265137,8.156251803487462,8.8128622519084,-73.255089,42.452017
Massachusetts-Essex-2006-88101-1,7.421551724137931,8.399999618530273,11.308130341246468,8.71036069730586,-70.970816,42.474642
Massachusetts-Middlesex-0009-88101-1,7.573770491803279,9.699999809265137,11.31878919254764,8.10561699261191,-71.362068,42.62668
Massachusetts-Essex-6001-88101-1,8.1890756302521,9.199999809265137,9.50125784951988,8.7114117562724,-71.164413,42.698215
New Hampshire-Hillsborough-1015-88101-1,7.482758620689655,9.5,9.007576743339692,8.22914808529156,-71.444583,42.762056
Massachusetts-Essex-5005-88101-1,7.590434782608695,9,10.21591782275374,7.50933737704918,-71.10229,42.770837
New Hampshire-Hillsborough-5001-88101-1,4.91965811965812,4.699999809265137,8.03144011399019,5.74478955583756,-71.878626,42.86183
New Hampshire-Rockingham-0018-88101-1,6.447826086956522,8.300000190734863,10.95019272343242,6.69298952229299,-71.38014,42.862531
Vermont-Bennington-0004-88101-1,7.062264150943396,6.800000190734863,7.873892888230167,6.6400612555768,-73.24984,42.88759
New Hampshire-Cheshire-0007-88101-1,8.898305084745763,8.699999809265137,10.184332314862962,8.39733066985646,-72.272332,42.930521
Vermont-Windham-9000-88502-1,1.58,4.199999809265137,8.4063834080514,5.113718,-72.9098,42.9561
New Hampshire-Rockingham-0014-88101-1,6.503225806451613,6.699999809265137,8.275347629543697,7.50716417525773,-70.748017,43.075371
New Hampshire-Merrimack-1006-88101-1,8.90940170940171,8.899999618530273,8.922614168540923,7.53727778248588,-71.458246,43.13246
Vermont-Bennington-8001-88502-1,3.886407766990291,4.099999904632568,8.559376702972823,5.99010202346041,-73.126323,43.148176
New Hampshire-Belknap-2004-88101-1,5.991228070175438,6.599999904632568,7.391172778750747,6.79051789571695,-71.496335,43.566122
Vermont-Rutland-0002-88101-1,10.387155963302751,8.600000381469727,9.423113350423735,9.10534867684478,-72.982778,43.608056
New Hampshire-Grafton-0010-88101-1,6.636666666666667,8.600000381469727,8.057583176139575,7.39900260580411,-72.309499,43.629605
Maine-Cumberland-0029-88502-1,7.631353781073447,5.5,8.692374051274003,6.06667203971119,-70.268965,43.660246
Maine-Cumberland-9002-88502-1,5.292380952380952,5.900000095367432,8.50383060584621,5.73327612817089,-70.063815,43.832458
Maine-Androscoggin-0011-88502-1,8.514453975342466,6.699999809265137,8.554594508285168,5.15258368758916,-70.214219,44.089406
Maine-Cumberland-0002-88502-1,4.421367521367522,6.699999809265137,8.554594508285168,5.15258368758916,-70.729165,44.107524
